"seriesid","name"
330,"The Chronicles of Narnia (Chronological Order) #1"
331,""
332,"Jake Brigance #1"
333,"The Dark Tower #1"
334,""
335,"Blade Runner #1"
336,"Divergent #3"
337,""
338,""
339,"The Lord of the Rings #1-3"
340,"Me Before You #1"
341,"The Heroes of Olympus #3"
342,""
343,"The Stormlight Archive #1"
344,"If I Stay #1"
345,""
346,"Legend #1"
347,"Sherlock Holmes #5"
348,""
349,""
350,""
351,""
352,"V for Vendetta #1-10"
353,""
354,""
355,""
356,""
357,""
358,"Fifty Shades #3"
359,""
360,""
361,"Wonder #1"
362,""
363,""
364,"Mistborn #1"
365,"Beautiful Creatures #1"
366,""
367,"The Inheritance Cycle #2"
368,"Black Dagger Brotherhood #1"
369,""
370,""
371,"The Wheel of Time #1"
372,""
373,""
374,""
375,"Maus #1-2"
376,""
377,""
378,"The Inheritance Cycle #3"
379,""
380,"Dave Pelzer #1"
381,"Stargirl #1"
382,""
383,""
384,""
385,"Lux #1"
386,""
387,""
388,"Hush, Hush #2"
389,""
390,""
391,""
392,"Phaedrus #1"
393,"The Martian #1"
394,""
395,""
396,"Great Plains Trilogy #3"
397,"Shatter Me #1"
398,"His Dark Materials #3"
399,""
400,""
401,"Robinson Crusoe #1"
402,"La Divina Commedia #1"
403,"Como agua para chocolate #1"
404,""
405,""
406,"Outlander #2"
407,""
408,""
409,"The Six of Crows Trilogy #1"
410,"Harry Potter #1-7"
411,""
412,""
413,"Daughter of Smoke & Bone #1"
414,""
415,"The Mortal Instruments #6"
416,"The Immortals #1"
417,"His Dark Materials #2"
418,""
419,""
420,""
421,""
422,""
423,""
424,""
425,""
426,"Goethe's Faust #1"
427,""
428,""
429,"Anna and the French Kiss #1"
430,"A Song of Ice and Fire #4"
431,"Maximum Ride #1"
432,"Miss Peregrine's Peculiar Children #1"
433,"Matched #1"
434,"Dollanganger #1"
435,""
436,""
437,"The Scarlet Pimpernel (publication order) #1"
438,"Hopeless #1"
439,""
440,"Reuven Malther #1"
441,""
442,""
443,""
444,""
445,"Artemis Fowl #1"
446,"Pippi Långstrump #1"
447,"Hogwarts Library"
448,""
449,""
450,""
451,"The Heroes of Olympus #4"
452,"Shantaram #1"
453,""
454,""
455,""
456,"The Host #1"
457,"Robert Langdon #3"
458,"Sprawl #1"
459,"House of Night #2"
460,""
461,""
462,""
463,"The Chronicles of Narnia (Publication Order) #3"
464,""
465,"Black Dagger Brotherhood #3"
466,""
467,"A Court of Thorns and Roses #1"
468,"Ya Yas #1"
469,""
470,"House of Night #4"
471,""
472,"A Song of Ice and Fire #5"
473,"Throne of Glass #2"
474,""
475,"Maya Angelou's Autobiography #1"
476,"Robot #0.1"
477,"The Twilight Saga #1-3"
478,""
479,"The Selection #3"
480,""
481,""
482,""
483,"Outlander #3"
484,"Claudius #1"
485,"Throne of Glass #3"
486,""
487,"House of Night #3"
488,""
489,""
490,"Platonis opera #6"
491,"The Chronicles of Narnia (Publication Order) #7"
492,"The Exorcist #1"
493,""
494,""
495,""
496,"The 5th Wave #1"
497,"The Iron Fey #1"
498,""
499,"Aristotle and Dante #1"
500,""
501,""
502,"Fallen #2"
503,"Bloodlines #1"
504,""
505,""
506,"Sword of Truth #1"
507,""
508,""
509,""
510,""
511,""
512,""
513,"World War Z"
514,"Gemma Doyle #1"
515,"Crossfire #1"
516,"Lives of the Mayfair Witches #1"
517,""
518,"Darkest Powers #1"
519,""
520,""
521,"Chocolat #1"
522,"Night Huntress #1"
523,""
524,"Perfect Chemistry #1"
525,"Red Queen #1"
526,"The Mortal Instruments #3"
527,"The Mortal Instruments #1-3"
528,""
529,"Robert Langdon #1"
530,""
531,"Space Odyssey #1"
532,""
533,"All Souls Trilogy #1"
534,"Unwind Dystology #1"
535,"Mark Renton #2"
536,""
537,"Cannery Row #1"
538,""
539,"À la recherche du temps perdu #1"
540,""
541,""
542,"Dark-Hunter #14"
543,""
544,"The Selection #2"
545,"Hush, Hush #3"
546,"Ishmael #1"
547,""
548,"Mara Dyer #1"
549,"The Lord of the Rings #3"
550,""
551,""
552,""
553,""
554,"Lorien Legacies #1"
555,"Penryn & the End of Days #1"
556,"Sookie Stackhouse #4"
557,""
558,"The Bronze Horseman #1"
559,"Wemmicksville #1"
560,"The Old Kingdom #1"
561,""
562,"Little House #3"
563,""
564,"The Books of Bayern #1"
565,""
566,""
567,"Shatter Me #3"
568,""
569,""
570,"The Darkest Minds #1"
571,""
572,""
573,"Outlander #4"
574,"Wicked Lovely #1"
575,"P.S. I Love You #1"
576,"Throne of Glass #4"
577,"House of Night #5"
578,"Kingsbridge #2"
579,"The Christmas Books #1"
580,""
581,"The Last Unicorn #1"
582,"Slammed #1"
583,"Little House #1"
584,"Hyperion Cantos #1"
585,""
586,"Greer Family #1"
587,"The Raven Cycle #1"
588,"A Series of Unfortunate Events #1"
589,""
590,"Ender's Saga #2"
591,""
592,""
593,"The Kane Chronicles #1"
594,""
595,""
596,""
597,""
598,""
599,"Anne of Green Gables #2"
600,"A Dog's Purpose #1"
601,""
602,""
603,"The Chronicles of Narnia (Publication Order) #4"
604,""
605,""
606,""
607,"Poison Study #1"
608,""
609,"The Lord of the Rings #2"
610,""
611,"The Secret #1"
612,"The Vampire Chronicles #3"
613,"Left Behind #1"
614,"Thursday Next #1"
615,"The Inheritance Cycle #4"
616,""
617,"The Talisman #1"
618,"If I Stay #2"
619,"The Chronicles of Narnia (Publication Order) #2"
620,""
621,"Chaos Walking #1"
622,"Fever #5"
623,"Gone #1"
624,""
625,""
626,""
627,"The Civil War Trilogy #2"
628,""
629,"The Maze Runner #2"
630,"Fever #1"
631,""
632,""
633,""
634,"Uglies #2"
635,"Jason Bourne #1"
636,"The Stormlight Archive #2"
637,""
638,""
639,""
640,""
641,""
642,"The Night Trilogy #1"
643,"The Theban Plays #1"
644,"The Lunar Chronicles #2"
645,"Song of the Lioness #1"
646,""
647,""
648,""
649,"Stephanie Plum #1"
650,"Earthsea Cycle #1"
651,""
652,"Black Dagger Brotherhood #5"
653,"Legend #3"
654,""
655,"Hainish Cycle #4"
656,"The Farseer Trilogy #1"
657,""
658,"1Q84 #1-3"
659,""
660,""
661,""
662,"MaddAddam #1"
663,"House of Night #6"
664,"The Lunar Chronicles #3"
665,"Robert Langdon #4"
666,"Outlander #6"
667,"Discworld #29"
668,""
669,"On the Seventh Day #2"
670,""
671,"Gentleman Bastard #1"
672,""
673,"Papillon #1"
674,""
675,""
676,"Gallagher Girls #1"
677,""
678,"Outlander #5"
679,""
680,"Sisterhood #1"
681,""
682,""
683,""
684,""
685,""
686,""
687,"Philip Marlowe #1"
688,"Dongeng Sepanjang Masa"
689,""
690,""
691,"The Six of Crows Trilogy #2"
692,""
693,"Legend #2"
694,"Joseph Campbell and Power of Myth"
695,"The Mortal Instruments #2"
696,"No. 1 Ladies' Detective Agency #1"
697,"Love Story #1"
698,"The Morganville Vampires #1"
699,"Captain Nemo #1"
700,"Shopaholic #1"
701,"Black Dagger Brotherhood #4"
702,"Odd Thomas #1"
703,"The Edge of Never #1"
704,""
705,"Sookie Stackhouse #3"
706,"Waverley Novels #5"
707,"Simon Snow #1"
708,"Princess Academy #1"
709,"Freakonomics"
710,""
711,"The Shadow Series #1"
712,""
713,"Shatter Me #2"
714,""
715,""
716,""
717,"Black Dagger Brotherhood #7"
718,""
719,""
720,""
721,""
722,""
723,""
724,"Sookie Stackhouse #2"
725,""
726,"St. Leibowitz #1"
727,"The Jungle Book #1-2"
728,""
729,"Edelstein-Trilogie #1"
730,""
731,""
732,""
733,"Green Town"
734,"The Wolves of Mercy Falls #2"
735,""
736,""
737,""
738,""
739,"Asher Lev #1"
740,""
741,""
742,""
743,""
744,"Red Rising Saga #1"
745,""
746,""
747,"Throne of Glass #5"
748,"To All the Boys I've Loved Before #1"
749,"The Maze Runner #3"
750,""
751,""
752,""
753,""
754,""
755,""
756,"Graceling Realm #2"
757,"Hercule Poirot #17"
758,"Discworld #1"
759,"Mistborn #3"
760,""
761,""
762,""
763,""
764,""
765,""
766,"Green Town"
767,"Mary Poppins #1"
768,"Hush, Hush #4"
769,"Darkest Powers #2"
770,""
771,""
772,""
773,""
774,"The Theban Plays #3"
775,""
776,""
777,"Discworld #13"
778,""
779,""
780,""
781,"The Passage #1"
782,"Darkest Powers #3"
783,""
784,""
785,""
786,""
787,""
788,"The Hitchhiker's Guide to the Galaxy #2"
789,""
790,""
791,""
792,"Forrest Gump #1"
793,"The Sparrow #1"
794,""
795,"The Hate U Give #1"
796,"Beautiful #2"
797,"Gabriel's Inferno #1"
798,"Fever #4"
799,"Extraordinary Voyages #11"
800,""
801,""
802,""
803,"Sevenwaters #1"
804,""
805,"Illusions #1"
806,""
807,""
808,"Kane & Abel #1"
809,"Crossfire #2"
810,"Uglies #3"
811,""
812,""
813,"Discworld #4"
814,"Bloodlines #2"
815,"Night Huntress #2"
816,""
817,""
818,"The Dark Tower #7"
819,"The Heroes of Olympus #5"
820,"Black Dagger Brotherhood #8"
821,"House of Night #7"
822,"Anita Blake, Vampire Hunter #1"
823,"Book of Ember #1"
824,"Sookie Stackhouse #5"
825,""
826,""
827,"Creekwood #1"
828,""
829,""
830,"Bartimaeus #1"
831,"Crank #1"
832,""
833,"Jack Ryan #3"
834,""
835,"Lux #3"
836,"The Shadow and Bone Trilogy #1"
837,""
838,""
839,""
840,""
841,"Delirium #2"
842,""
843,""
844,""
845,""
846,""
847,""
848,"Folktales"
849,""
850,"Bryson and Katz #2"
851,""
852,""
853,""
854,"Night World #1-3"
855,""
856,"Will Grayson, Will Grayson #1"
857,"Ferdinand Bardamu #1"
858,""
859,"Thoughtless #1"
860,""
861,"The Notebook #2"
862,""
863,"Fablehaven #1"
864,""
865,""
866,"Hercule Poirot #4"
867,""
868,"Contours of the Heart #1"
869,""
870,""
871,""
872,"The Vampire Diaries #1-2"
873,"Logans #4"
874,""
875,"Fever #3"
876,"Lux #2"
877,"Hunter Legends #1"
878,""
879,""
880,""
881,"Fallen #3"
882,"A Court of Thorns and Roses #3"
883,"Otherworld #1"
884,"5 Love Languages"
885,""
886,""
887,"Sookie Stackhouse #8"
888,"The Dark Tower #4"
889,""
890,""
891,"Wings #1"
892,"Sookie Stackhouse #7"
893,""
894,""
895,""
896,""
897,"The Dark Tower #2"
898,""
899,"Sarah Agnes Prine #1"
900,"Sookie Stackhouse #9"
901,"Every Day #1"
902,""
903,""
904,"The Man Without Qualities #1-3"
905,"Mark Renton #1"
906,""
907,"The Tiger's Curse Series #1"
908,"Redwall #1"
909,""
910,""
911,""
912,"The Border Trilogy #1"
913,""
914,"Warriors #1"
915,"Ranger's Apprentice #1"
916,""
917,"Call Me By Your Name #1"
918,"Hex Hall #1"
919,"Unearthly #1"
920,"Mistborn #2"
921,""
922,""
923,""
924,""
925,""
926,""
927,"The Hollows #1"
928,"Kendra Chronicles #1"
929,""
930,"Night Huntress #3"
931,""
932,""
933,""
934,"Bloodlines #3"
935,""
936,"Blue Bloods #1"
937,"Throne of Glass #0.1 - 0.5"
938,""
939,""
940,""
941,""
942,""
943,"The Devil Wears Prada #1"
944,"Sherlock Holmes #1"
945,"An Ember in the Ashes #1"
946,"American Gods #2.0"
947,""
948,""
949,""
950,"Hainish Cycle #6"
951,"Black Dagger Brotherhood #6"
952,"The Pilgrim's Progress #1"
953,""
954,""
955,"Crossroads #1"
956,""
957,""
958,"The Iron Fey #3"
959,"The Leatherstocking Tales #2"
960,"Across the Universe #1"
961,"Brian's Saga #1"
962,"Slammed #2"
963,"French Trilogy #2"
964,"Discworld #20"
965,""
966,""
967,""
968,"Nightshade #1"
969,"The Dresden Files #1"
970,""
971,""
972,"The Twilight Saga #3.5"
973,""
974,"To Live #3"
975,""
976,"Evernight #1"
977,""
978,""
979,"The Riftwar Saga #1-2"
980,"Dirk Gently #1"
981,""
982,""
983,"VanWest #1"
984,"On Dublin Street #1"
985,""
986,"Alpha & Omega #1"
987,""
988,"The Vampire Chronicles #5"
989,""
990,"The Henry Family #1"
991,"The Iron Fey #2"
992,""
993,""
994,"The Mysterious Benedict Society #1"
995,"Earth's Children #2"
996,""
997,"Maximum Ride #2"
998,"Maximum Ride #3"
999,"Perfect Chemistry #2"
1000,"Percy Jackson and the Olympians #1-3"
1001,""
1002,""
1003,"Shades of Magic #1"
1004,""
1005,""
1006,"Darkness #1"
1007,""
1008,"Practical Magic #1"
1009,"The Immortals #2"
1010,"The Hitchhiker's Guide to the Galaxy #3"
1011,""
1012,"Tropic #2"
1013,""
1014,""
1015,"Fever #2"
1016,"Maus #1"
1017,"House of Night #8"
1018,""
1019,"Night Angel #1"
1020,"Die Danziger Trilogie #1"
1021,"Covenant #1"
1022,""
1023,"The Lunar Chronicles #4"
1024,""
1025,""
1026,""
1027,"Grim Reaper #1"
1028,"Lux #4"
1029,""
1030,"Trylle #1"
1031,""
1032,"Phèdre's Trilogy #1"
1033,"Burgdorf Cycle #1"
1034,""
1035,""
1036,"Extraordinary Voyages #3"
1037,"Inkworld #2"
1038,"Persepolis #1-4"
1039,""
1040,""
1041,"The Dark Artifices #1"
1042,""
1043,"The Wolves of Mercy Falls #3"
1044,"Jaws #1"
1045,""
1046,"Starcrossed #1"
1047,""
1048,""
1049,""
1050,""
1051,""
1052,""
1053,""
1054,""
1055,"Les Rougon-Macquart #13"
1056,""
1057,"Night Huntress #4"
1058,""
1059,""
1060,""
1061,"源氏物語 #1-56"
1062,""
1063,""
1064,""
1065,""
1066,""
1067,"Rosemary Beach #1"
1068,"Mary Russell and Sherlock Holmes #1"
1069,""
1070,"Hannibal Lecter #1"
1071,""
1072,"Harriet the Spy #1"
1073,""
1074,"Time Quintet #1-4"
1075,""
1076,""
1077,"Triffids #1"
1078,"The Wheel of Time #3"
1079,""
1080,"Mara Dyer #2"
1081,"The First Law #1"
1082,""
1083,"The Kane Chronicles #2"
1084,"Batman: The Dark Knight Returns #1-4"
1085,""
1086,""
1087,"Discworld #33"
1088,""
1089,""
1090,""
1091,"Pretty Little Liars #1"
1092,"Under the Never Sky #1"
1093,""
1094,""
1095,""
1096,"Anne of Green Gables #1-8"
1097,""
1098,""
1099,"Night World #4-6"
1100,"Celestine Prophecy #1"
1101,""
1102,"Gormenghast #1-3"
1103,"Inkworld #3"
1104,""
1105,"Asian Saga: Chronological Order #2"
1106,""
1107,"The Secrets of the Immortal Nicholas Flamel #1"
1108,"Halo #1"
1109,""
1110,"Sweet #1"
1111,"Fifty Shades #1-3"
1112,"George Smiley #3"
1113,"The Twilight Saga #3"
1114,""
1115,""
1116,""
1117,"The Twilight Saga #4"
1118,""
1119,"El cementerio de los libros olvidados #2"
1120,"Thoughtless #2"
1121,"Waverley Family #1"
1122,"Blood of Eden #1"
1123,""
1124,""
1125,"Anne of Green Gables #3"
1126,"Hopeless #2"
1127,""
1128,"Kate Daniels #1"
1129,""
1130,""
1131,"Wait for You #1"
1132,""
1133,"The Princess Diaries #1"
1134,""
1135,""
1136,""
1137,""
1138,"The Devil #1"
1139,""
1140,""
1141,"Gallagher Girls #2"
1142,""
1143,"In Death #1"
1144,"Maximum Ride #5"
1145,"Beautiful Creatures #2"
1146,""
1147,""
1148,"Alexander"
1149,""
1150,""
1151,""
1152,"The Century Trilogy #1"
1153,""
1154,"Old Yeller #1"
1155,""
1156,""
1157,"Discworld #8"
1158,"VanWest #2"
1159,""
1160,"Darcy & Rachel #1"
1161,"Shadow Falls #1"
1162,""
1163,"Elantris #1"
1164,"Gilead"
1165,"Uglies #4"
1166,""
1167,"New Crobuzon #1"
1168,"Damar #1"
1169,""
1170,""
1171,"Andersen Masalları #3"
1172,""
1173,"Fallen #4"
1174,""
1175,""
1176,"Mercy Thompson #3"
1177,""
1178,"The Illuminae Files #1"
1179,"Three Men #1"
1180,"Outlander #7"
1181,""
1182,"The Tiger's Curse Series #3"
1183,""
1184,"Wicked Lovely #2"
1185,"Hogwarts Library"
1186,"Matteo Alacran #1"
1187,"The Dark Tower #3"
1188,""
1189,""
1190,""
1191,"Cheaper by the Dozen #1"
1192,""
1193,"Nonie Broussard Ghost Tracker"
1194,""
1195,"The Kane Chronicles #3"
1196,"If You Give..."
1197,"Diary of a Wimpy Kid #1"
1198,""
1199,"The Vampire Diaries #3-4"
1200,""
1201,""
1202,"The Twilight Saga #2"
1203,"The Hundred-Year-Old Man #1"
1204,""
1205,"Shadow Children #1"
1206,"The Raven Cycle #2"
1207,""
1208,""
1209,"Ancient Egypt #1"
1210,"The Belgariad #1"
1211,"Burned #1"
1212,"Duluoz Legend"
1213,""
1214,""
1215,"The Wheel of Time #2"
1216,""
1217,"Pushing the Limits #1"
1218,""
1219,"Demon Cycle #1"
1220,""
1221,""
1222,"The Morganville Vampires #2"
1223,"Daughter of Smoke & Bone #2"
1224,""
1225,""
1226,""
1227,"Impulse #1"
1228,"Gabriel's Inferno #2"
1229,"Old Man's War #1"
1230,""
1231,"Villains #1"
1232,"Need #1"
1233,"Arthurian Saga #1"
1234,"Summer #1"
1235,""
1236,"The Folk of the Air #1"
1237,""
1238,"The Forever War #1"
1239,""
1240,""
1241,"Last Survivors #1"
1242,"Gallagher Girls #3"
1243,""
1244,""
1245,"Middle-earth Universe"
1246,""
1247,""
1248,"Tracy Whitney #1"
1249,"Real #1"
1250,"Miss Peregrine's Peculiar Children #2"
1251,"Kissed by an Angel #1-3"
1252,"All Creatures Great and Small #3-4"
1253,""
1254,"The Original Shannara Trilogy #1"
1255,""
1256,""
1257,""
1258,"The Wheel of Time #4"
1259,"Manufactured Identity #1"
1260,"A Song of Ice and Fire (1-in-2) #6"
1261,"Jack Reacher #1"
1262,""
1263,"Mark of the Lion #1"
1264,""
1265,""
1266,"The Iron Fey #4"
1267,"Vampire Academy #1-3"
1268,""
1269,""
1270,""
1271,"Discworld #11"
1272,""
1273,""
1274,"Rama #1"
1275,"Crossfire #3"
1276,""
1277,""
1278,""
1279,""
1280,""
1281,""
1282,"Love Me with Lies #1"
1283,""
1284,"Skulduggery Pleasant #1"
1285,"The Good Ol' Boys #1"
1286,"A Bridge of Leaves #1"
1287,""
1288,"Quiet"
1289,""
1290,"Heaven is For Real"
1291,""
1292,"The Inheritance Cycle #1-3"
1293,"Cloudy with a Chance of Meatballs #1"
1294,""
1295,"Matched #2"
1296,"New York Trilogy #1-3"
1297,"Thomas Cromwell #1"
1298,""
1299,"The Sandman #1"
1300,""
1301,"The Ascendance Series #1"
1302,""
1303,""
1304,""
1305,""
1306,""
1307,""
1308,"Chaos Walking #2"
1309,"Noughts and Crosses #1"
1310,""
1311,""
1312,""
1313,""
1314,""
1315,""
1316,"Tomorrow #1"
1317,""
1318,"Cocktail #1"
1319,""
1320,""
1321,""
1322,"The Boy Who Sneaks in My Bedroom Window #1"
1323,"All Souls Trilogy #2"
1324,"Hogwarts Library"
1325,""
1326,""
1327,""
1328,"Mercy Thompson #2"
1329,"Hometown #1"
1330,"The Witcher #0.5"
1331,""
1332,"Kate Daniels #4"
1333,"Harry Potter #8"
1334,""
1335,"Cormoran Strike #1"
1336,"Chaos Walking #3"
1337,""
1338,"Blue Bloods #2"
1339,"The Black Magician Trilogy #3"
1340,"Revenants #1"
1341,""
1342,""
1343,"Divergent #0.1-0.4"
1344,"Feynman #1"
1345,"Mercy Thompson #4"
1346,"The Selection #4"
1347,"The Farseer Trilogy #2"
1348,"Gallagher Girls #4"
1349,""
1350,"George Smiley #5"
1351,"The Wheel of Time #12"
1352,""
1353,""
1354,"Maximum Ride #4"
1355,"Anna and the French Kiss #2"
1356,"Rats of NIMH #1"
1357,""
1358,""
1359,"Alex Cross #2"
1360,"The Chronicles of Amber #1-10 "
1361,"Maximum Ride #6"
1362,"Black Dagger Brotherhood #9"
1363,"Del Valle Family #1"
1364,"Keeper of the Lost Cities #1"
1365,""
1366,"The Dark Duet #1"
1367,"Red Queen #2"
1368,"Complete Nathan Zuckerman #6"
1369,""
1370,"The Black Magician Trilogy #1"
1371,""
1372,""
1373,"Guild Hunter #1"
1374,""
1375,""
1376,"Don Tillman #1"
1377,""
1378,""
1379,"Warm Bodies #1"
1380,""
1381,""
1382,"Alexandria Quartet #1-4"
1383,"The Game #1"
1384,"Discworld #30"
1385,""
1386,""
1387,""
1388,"North and South #1"
1389,"On the Island #1"
1390,""
1391,""
1392,"Bloodlines #4"
1393,""
1394,""
1395,""
1396,""
1397,"Georgina Kincaid #1"
1398,""
1399,""
1400,"Oxford Time Travel #1"
1401,""
1402,"The Maze Runner #4"
1403,""
1404,"The Henry Family #2"
1405,""
1406,""
1407,"Long Walk to Freedom #1-2"
1408,""
1409,"The Morganville Vampires #5"
1410,""
1411,""
1412,""
1413,""
1414,""
1415,"The Morganville Vampires #3"
1416,"Lost Kingdoms of Karibu #1"
1417,"Trylle #2"
1418,"Throne of Glass #7"
1419,"The Land of Stories #1"
1420,"Paranormalcy #1"
1421,"Night World #7-9"
1422,"Rizzoli & Isles #1"
1423,""
1424,""
1425,"Seven Realms #1"
1426,""
1427,"The Collected Works of W.B. Yeats #1"
1428,"The Eight #1"
1429,""
1430,""
1431,"Crossroads #2"
1432,"Caraval #1"
1433,""
1434,"Firelight #1"
1435,""
1436,""
1437,""
1438,""
1439,"Evernight #2"
1440,""
1441,""
1442,"Lincoln Rhyme #1"
1443,"Illuminatus! #1-3"
1444,"Firefly Lane #1"
1445,""
1446,""
1447,"Kate Daniels #3"
1448,"Persepolis #1-2"
1449,"Lords of the Underworld #1"
1450,""
1451,"A Distant Mirror: The Calamitous 14th Century"
1452,""
1453,"Brathius History #1"
1454,""
1455,"Dragonriders of Pern #1"
1456,""
1457,"Fall Away #1"
1458,""
1459,"The Morganville Vampires #4"
1460,"Hex Hall #2"
1461,"The Theban Plays #1–3"
1462,""
1463,"Lorien Legacies #2"
1464,"Sugar Mountain #1"
1465,""
1466,""
1467,"Sookie Stackhouse #10"
1468,""
1469,""
1470,"Parasol Protectorate #1"
1471,""
1472,"Hamilton High #1"
1473,""
