"publisherid","name"
188,"Delacorte Press"
189,"Dutton Children's Books"
190,"Penguin Books"
191,"Vintage"
192,"Kingfisher"
193,"Vintage"
194,"Bantam"
195,"Bantam"
196,"Penguin Books/Penguin Classics"
197,"Ballantine Books"
198,"Arrow Books"
199,"Penguin"
200,"cbt"
201,"William Morrow Paperbacks"
202,"Dell"
203,"Mariner Books"
204,"HarperCollins"
205,"Laurel Leaf Library"
206,"Penguin Books"
207,"Washington Square Press"
208,"Sceptre"
209,"David Fickling Books"
210,"Ballantine Books"
211,"Razorbill"
212,"Doubleday"
213,"Delacorte Press"
214,"Houghton Mifflin Company"
215,"Crown"
216,"Vintage"
217,"Vintage"
218,"Grove Press"
219,"Pan Books"
220,"HarperTeen"
221,"Avon"
222,"Scholastic Press"
223,"Disney ● Hyperion Books"
224,"Bloomsbury USA Children's"
225,"Razorbill"
226,"Simon & Schuster, Margaret K. McElderry"
227,"Penguin Classics"
228,"Penguin Books"
229,"Penguin"
230,"Random House"
231,"Penguin Books"
232,""
233,"Plume/Penguin"
234,"Bantam"
235,"Harpercollins Childrens Books"
236,"Arrow Books"
237,"Scholastic Press"
238,"Simon Pulse"
239,"Simon & Schuster Children's, Margaret K. McElderry Books"
240,"Beacon Press"
241,"Pocket"
242,"Harper Perennial"
243,"William Morrow; 1ST edition"
244,"Scholastic Books"
245,"Knopf"
246,"Feiwel & Friends"
247,"Penguin Signet"
248,"Mariner Books"
249,"Bantam"
250,"Vintage International"
251,"Windblown Media"
252,"St. Martin's Press"
253,"Dial Press"
254,"Scribner"
255,"Vintage Books"
256,"Dial Press Trade Paperback"
257,"Andrews McMeel Publishing"
258,"Dell Publishing Company"
259,"New English Library"
260,"Harper Trophy"
261,"Ace"
262,"HMH Books for Young Readers"
263,""
264,"Knopf"
265,"Vintage"
266,"Little, Brown and Company"
267,"Bantam"
268,"HarperCollins"
269,"Jamie McGuire"
270,"Simon Schuster"
271,"Eio Books"
272,"Speak"
273,"Ballantine Books"
274,"Farrar, Straus and Giroux (Byr)"
275,"Modern Library"
276,"Simon Schuster"
277,"Ace"
278,"ReganBooks"
279,"William Morrow Paperbacks"
280,"Anchor Books"
281,"Scholastic Paperbacks"
282,"Wordsworth Classics"
283,"William Morrow / HarperCollins / Harper Perennial"
284,"Little, Brown and Company"
285,"Bantam Classics"
286,"Dover Publications"
287,"Alfred A. Knopf"
288,"Vintage"
289,"Broadway Books"
290,"Vintage"
291,"Penguin Classics"
292,"Simon Schuster"
293,"St. Martin's Paperbacks"
294,"Harcourt"
295,"Gramercy"
296,"Atria Books"
297,"Bantam"
298,"Vintage Books"
299,"Broadway Books"
300,"Thorndike Press"
301,"Signet Classics"
302,"Warner Books"
303,"Vintage International"
304,"Kingfisher"
305,"Richard Jackson/Athaneum Books for Young Readers"
306,"Margaret K. McElderry Books"
307,"Phoenix"
308,"Princeton University Press"
309,"DAW Books"
310,"نشر داستان"
311,"Elibron Classics"
312,"St. Martin's Griffin"
313,"Vintage Books"
314,"Dial Press Trade Paperback"
315,"Vintage Books"
316,"Disney ● Hyperion Books"
317,"Ace Books"
318,"Random House"
319,"The Writer's Coffee Shop Publishing House"
320,"Crown Publishers"
321,"Signet"
322,"Golden Books"
323,"Bloomsbury USA Childrens"
324,"Anchor Books"
325,"Penguin Books"
326,"Houghton Mifflin Harcourt"
327,"Scholastic Press"
328,"Back Bay Books"
329,"Ballantine Books"
330,"HarperCollins Publishers"
331,"Harper Perennial"
332,"Dell"
333,"Plume"
334,"Laurel Leaf"
335,"Ballantine Books"
336,"HarperCollins Children's Book's"
337,"St. Martin's Press"
338,"Broadway Books"
339,"Houghton Mifflin Harcourt"
340,"Penguin Books"
341,"Disney-Hyperion Books"
342,"Harper Collins"
343,"Tor Books"
344,"Dutton Books for Young Readers"
345,"Scholastic Paperbacks"
346,"Putnam Juvenile"
347,"Signet"
348,"Penguin Classics"
349,"Penguin"
350,"Harper Perennial"
351,"Vintage Contemporaries / Random House"
352,"Vertigo"
353,"Firefly Books"
354,"Scholastic Inc."
355,""
356,"HarperCollins"
357,"Penguin"
358,"Vintage Books"
359,"Grove Press"
360,"Scholastic Paperbacks"
361,"Alfred A. Knopf"
362,"W.W. Norton & Company"
363,"Farrar Straus Giroux"
364,"Tor Books"
365,"Little, Brown and Company"
366,"Penguin"
367,"Knopf Books for Young Readers"
368,"Penguin Group (USA)"
369,"Simon Pulse"
370,"دار ليلى كيان كورب"
371,"Tor Books"
372,"Bantam Classics"
373,"Vintage"
374,"Scribner"
375,"Penguin Books"
376,"Penguin Books"
377,"Picador USA"
378,"Alfred A. Knopf"
379,"دار ليلى كيان كورب"
380,"Health Communications Inc"
381,"Scholastic"
382,"Vintage"
383,"Warner Books (NY)"
384,"Vintage"
385,"Entangled Teen"
386,"New English Library"
387,"Bantam/Spectra"
388,"Simon & Schuster Books for Young Readers"
389,"McClelland & Stewart"
390,"Penguin Books"
391,"Random House"
392,"HarperTorch"
393,"Crown"
394,"Addison Wesley Publishing Company"
395,"Grand Central Publishing"
396,"New Millennium Library"
397,"Harper"
398,"Laurel Leaf"
399,"Pantheon"
400,"Signet Classics"
401,"Modern Library"
402,"Modern Library"
403,"Black Swan"
404,"Vintage Books"
405,"Little, Brown and Company"
406,"Bantam"
407,"Dell Publishing"
408,"Puffin Books"
409,"Henry Holt and Company"
410,"Arthur A. Levine Books"
411,"Castle Books"
412,"Vintage"
413,"Little, Brown Books for Young Readers"
414,"Signet Classics"
415,"Margaret K. McElderry Books"
416,"St. Martin's Griffin"
417,"RHCP Digital"
418,"Heinemann Library"
419,"Scribner"
420,"Vintage International"
421,"Vintage"
422,"Dramatists Play Service"
423,"Back Bay Books"
424,"Dante University of America Press"
425,"Cambridge University Press"
426,"Bantam Classics"
427,"Random House"
428,"Faber & Faber"
429,"Dutton Juvenile"
430,"Bantam Books"
431,"Grand Central Publishing"
432,"Quirk"
433,"Dutton Books for Young Readers"
434,"Pocket Books"
435,"Scribner Book Company"
436,"Random House"
437,"Quiet Vision Pub"
438,""
439,"Tor Books"
440,"Fawcett Books"
441,"Riverhead Books"
442,"Vintage Books"
443,"Scribner"
444,"Eio Books"
445,"Disney-Hyperion"
446,"Puffin Books"
447,"Bloomsbury"
448,"Bloomsbury Publishing PLC"
449,"Pantheon"
450,"Atria Books"
451,"Disney-Hyperion Books"
452,"Scribe"
453,"Crown Publishers"
454,"Multnomah"
455,"Barnes Noble Classics"
456,"Little, Brown and Company"
457,"Doubleday"
458,"Ace"
459,"St. Martin's Griffin"
460,"Grove"
461,"Viking"
462,"Barnes & Noble Classics"
463,"HarperCollins"
464,"Oxford University Press"
465,"Signet"
466,"Oxford University Press"
467,"Bloomsbury USA Childrens"
468,"Harper Perennial"
469,"W.W. Norton & Company"
470,"St. Martin's Griffin"
471,"Harper Perennial"
472,"Bantam"
473,"Bloomsbury USA Childrens"
474,"Harvest Books"
475,"Bantam Books"
476,"Bantam Books"
477,"Atom"
478,"Penguin Books"
479,"HarperTeen"
480,"See Sharp Press"
481,"Pocket Books"
482,"Vintage"
483,"Delta"
484,"Vintage"
485,"Bloomsbury USA Childrens"
486,"Little, Brown and Company"
487,"St. Martin's Griffin"
488,"Digireads.com"
489,"Penguin Books"
490,"Penguin Classics"
491,"HarperCollins Publishers"
492,"HarperTorch"
493,"Matador"
494,"William Morrow Paperbacks"
495,"Suhrkamp Verlag"
496,"G.P. Putnam's Sons Books for Young Readers"
497,"Harlequin Teen"
498,"CreateSpace"
499,"Simon & Schuster Books for Young Readers"
500,"Modern Library"
501,"Little, Brown and Company"
502,"Delacorte Press"
503,"Razorbill"
504,"Penmore Press LLC"
505,"Penguin Books"
506,"Tor Books"
507,"Penguin Books"
508,"Back Bay Books"
509,"Houghton Mifflin Co. (Boston/NY)"
510,"Scribner"
511,"Signet"
512,"Spectra"
513,"Crown"
514,"Simon and Schuster"
515,"Berkley"
516,"Arrow"
517,"Modern Library"
518,"HarperCollins"
519,"Scribner"
520,"Citadel"
521,"Penguin Books"
522,"Avon"
523,"Penguin"
524,"Walker Childrens"
525,"HarperTeen"
526,"Margaret K. McElderry Books"
527,"Margaret K. McElderry Books"
528,"Penguin Classics"
529,"Pocket Books"
530,"Viking Books"
531,"Roc"
532,"Penguin Group Inc."
533,"Viking Penguin"
534,"Simon & Schuster Books for Young Readers"
535,"Vintage"
536,"Random House, Inc."
537,"Penguin Books"
538,"Simon Schuster"
539,"Penguin Classics"
540,"St. Martins Press"
541,"Houghton Mifflin"
542,"St. Martin's Press"
543,"Modern Library"
544,"HarperTeen"
545,"Simon & Schuster Books for Young Readers"
546,"Bantam"
547,"Little, Brown and Company"
548,"Simon & Schuster Books for Young Readers"
549,"Ballantine Books"
550,"Knopf"
551,"Anchor Books"
552,"Penguin Books"
553,"Garden Heights Books"
554,"HarperCollins"
555,"Skyscape"
556,"Ace Books"
557,"Oxford University Press"
558,"HarperCollins e-books"
559,"Candle Books"
560,"Harper Collins"
561,"Alfred A. Knopf"
562,"HarperTrophy"
563,"Harper & Row (NYC/Evanston)"
564,"Bloomsbury Children's Books"
565,"Wyatt Book"
566,"Hachette Books"
567,"HarperCollins"
568,"New Directions"
569,"Simon Schuster"
570,"Disney Hyperion"
571,"W. W. Norton Company"
572,"Picador USA"
573,"Bantam"
574,"HarperTeen"
575,"Hachette Books"
576,"Bloomsbury USA Childrens"
577,"St. Martin's Griffin"
578,"Dutton"
579,"Bethany House Publishers"
580,"Washington Square Press, Inc."
581,"Penguin Roc"
582,"Atria Books"
583,"HarperTrophy"
584,"Bantam Spectra"
585,"Vintage"
586,"Perfection Learning"
587,"Scholastic Press"
588,"Scholastic, Inc."
589,"Signet Classics"
590,"Tor Books"
591,"Puffin"
592,"Houghton Mifflin Harcourt"
593,"Disney-Hyperion"
594,"Delacorte Press"
595,"Little, Brown"
596,"Harcourt Brace"
597,"Oxford University Press, USA"
598,"Balboa Press"
599,"Random House Children's Books"
600,"Forge Books"
601,"Atlantic Monthly Press"
602,"Harper Perennial"
603,"HarperCollins"
604,"Walker Books"
605,"Simon & Schuster (NYC)"
606,"Shambhala"
607,"Mira"
608,"Little, Brown and Company"
609,"Houghton Mifflin"
610,"Farrar, Straus and Giroux"
611,"Atria Books"
612,"Ballantine Books"
613,"Tyndale House Publishers"
614,"Penguin Books"
615,"Alfred A. Knopf"
616,"HarperCollins"
617,"Random House"
618,"Dutton Juvenile"
619,"HarperCollins Publishers"
620,"Penguin Books"
621,"Candlewick Press"
622,"Delacorte Press"
623,"Katherine Tegen Books"
624,"Harper Perennial Modern Classics"
625,"Ballantine Books"
626,"Virago Press Ltd"
627,"Ballantine Books"
628,"Mariner Books"
629,"Delacorte Press"
630,"Delacorte Press"
631,"Norton"
632,"L&OD Key Porter"
633,"Penguin Books"
634,"Simon & Schuster Simon Pulse"
635,"Orion"
636,"Tor Books"
637,"Vintage"
638,"Penguin Books"
639,"Harper Perennial"
640,"Orb Books"
641,"Bantam Books"
642,"Hill & Wang"
643,"Prestwick House - (Literary Touchstone Classic)"
644,"Feiwel & Friends"
645,"Simon Pulse"
646,"W. W. Norton Company"
647,"Berkley"
648,"Simon & Schuster Paperbacks"
649,"Griffin"
650,"Bantam Spectra"
651,"Bloomsbury Publishing"
652,"Signet"
653,"Putnam Juvenile"
654,"Penguin Classics"
655,"Ace"
656,"Spectra Books"
657,"Dial Books"
658,"Knopf"
659,"G.P. Putnam's Sons"
660,"Dover Publications"
661,"Back Bay Books"
662,"Anchor Books"
663,"Atom"
664,"Feiwel & Friends"
665,"Doubleday"
666,"Delta"
667,"Corgi"
668,"Vintage"
669,"Harper Perennial"
670,"Dualmind Publishing"
671,"Spectra"
672,"No Exit Press"
673,"William Morrow Paperbacks"
674,"Harper Perennial"
675,"Vintage"
676,"Little, Brown Books for Young Readers"
677,"Kyle Keyes"
678,"Dell"
679,"Vintage"
680,"Delacorte Press"
681,"City Lights"
682,"Walker Books Ltd"
683,"Europa Editions"
684,"The Church of Jesus Christ of Latter-day Saints"
685,"Gollancz"
686,"Random House"
687,"Vintage Crime"
688,""
689,"CreateSpace"
690,"Warner Books"
691,"Orion Children's Books"
692,"Henry Holt and Company, LLC"
693,"Putnam Juvenile"
694,"Anchor"
695,"Margaret K. McElderry Books"
696,"Anchor Books"
697,"HarperTorch"
698,"NAL Jam"
699,"Barnes & Noble"
700,"Dell Publishing Company"
701,"Onyx"
702,"Bantam"
703,"Createspace"
704,""
705,"Orbit"
706,"Penguin Books /Penguin Classics"
707,"Wednesday Books"
708,"Bloomsbury Children's Books"
709,"William Morrow"
710,"St. Martin's Press"
711,"Starscape"
712,"Vintage"
713,"HarperCollins"
714,"Penguin Books"
715,"HarperTrophy"
716,"Penguin"
717,"NAL"
718,"Gramercy Books"
719,"Fourth Estate Paperbacks"
720,"Plume"
721,"NAL"
722,"Laurel Leaf"
723,"Scribner"
724,"Orbit"
725,"The Penguin Press"
726,"HarperCollins EOS"
727,"Signet Classics"
728,"Penguin Classics Deluxe Edition"
729,"Arena Verlag"
730,"Hodder & Stoughton"
731,"Bantam Classics"
732,"Corgi books"
733,"Harper Voyager"
734,"Scholastic Press"
735,"Random House Vintage"
736,"Avon"
737,"Penguin Classics"
738,"Candlewick Press"
739,"Anchor"
740,"Gallery Books"
741,"Vintage"
742,"Vintage"
743,"Dover Publications"
744,"Del Rey (Random House)"
745,"Simon Schuster"
746,"Mariner Books"
747,"Bloomsbury Children's Books"
748,"Simon & Schuster Books for Young Readers"
749,"Delacorte Books for Young Readers"
750,"Createspace Independent Publishing Platform"
751,"Riverhead Books"
752,"Harper Collins Children's Books"
753,""
754,"Grove Press"
755,"Disney-Hyperion"
756,"Dial Books"
757,"Bantam Books"
758,"Harper"
759,"Tor Books"
760,"Sea Breeze Publishing LLC"
761,"Modern Library"
762,"iUniverse"
763,"Hodder & Stoughton"
764,"Anchor Books"
765,"VIZ, LLC"
766,"Earthlight (UK)"
767,"HMH Books for Young Readers"
768,"Simon & Schuster Books for Young Readers"
769,"HarperCollins"
770,"Vintage"
771,"W. W. Norton Company"
772,"Methuen"
773,"Dutton Books for Young Readers"
774,"Ingram"
775,"Scholastic Press"
776,"William Morrow Books"
777,"Corgi"
778,"Scribner"
779,"Mariner Books"
780,"New Directions"
781,"Ballantine Books"
782,"Orbit"
783,"نشر داستان"
784,"Ace Book"
785,"Henry Holt & Company"
786,"Penguin Classics"
787,"Bantam Books, Inc."
788,"Del Rey"
789,"Chatto & Windus"
790,"Free Press"
791,"Doubleday"
792,"Washington Square Press"
793,"Ballantine Books"
794,"Alfred A. Knopf Borzoi Books"
795,"Balzer + Bray"
796,"Atria Books"
797,"Omnific Publishing"
798,"Delacorte Press"
799,"Penguin Books"
800,"Black Swan"
801,"Penguin Books Ltd"
802,"Pocket Books"
803,"Tom Doherty Associates"
804,"Pan Books"
805,"Arrow Books Ltd"
806,"Simon Schuster"
807,"Grand Central Publishing"
808,"St. Martin's Paperbacks"
809,"Berkley"
810,"Simon Pulse"
811,"Vintage"
812,"HarperTorch"
813,"Harpertorch"
814,"Razorbill"
815,"Avon"
816,"Anchor Books"
817,"William Morrow Paperbacks"
818,"Pocket Books"
819,"Disney-Hyperion Books"
820,"NAL"
821,"Atom"
822,"Berkley"
823,"Random House Children's Books"
824,"Ace Books"
825,"Scribner"
826,"Zondervan Publishing"
827,"Balzer + Bray"
828,"Evergreen Farm"
829,"Grand Central Publishing"
830,"Hyperion Books for Children"
831,"Margaret K. McElderry Books"
832,"Random House"
833,"Berkley Trade"
834,"Chatto & Windus"
835,"Entangled Teen"
836,"Henry Holt and Company"
837,"Penguin Classics"
838,"Da Capo Press"
839,"Simon Schuster"
840,"Signet"
841,"HarperTeen"
842,"Penguin Books"
843,"Knopf Doubleday Publishing Group"
844,"Ecco"
845,"Ecco"
846,"Penguin Classics"
847,"Dial Press Trade Paperback"
848,"HarperCollins"
849,"Grand Central Publishing"
850,"Anchor Books"
851,"Grove Press"
852,"Vintage"
853,"No Exit Press"
854,"Simon Pulse"
855,"Virago"
856,"Dutton Books"
857,"New Directions"
858,"House of Stratus"
859,"CreateSpace"
860,"Signet"
861,"Vision"
862,"Vintage"
863,"Shadow Mountain"
864,"Vintage"
865,"Penguin Books"
866,"Black Dog & Leventhal Publishers"
867,"Bloomsbury Arden Shakespeare"
868,"Penguin Berkley"
869,"Dial Press"
870,"Penguin Classics"
871,"Avon"
872,"HarperTeen"
873,"Puffin Books"
874,"Pocket Books"
875,"Delacorte Press"
876,"Entangled Teen"
877,"St. Martin's Press"
878,"Speak"
879,"Atria Books"
880,"Broadway Paperbacks"
881,"Delacorte Press"
882,"Bloomsbury Childrens Books"
883,"Plume Books"
884,"Northfield Publishing"
885,"Harvill Secker"
886,"Penguin Books"
887,"Ace"
888,"New English Library"
889,"Penguin Books"
890,"Signet Book"
891,"HarperTeen"
892,"Ace"
893,"Riverhead Books"
894,"Shaye Areheart Books"
895,"Simon Schuster"
896,"Dover Publications"
897,"Signet"
898,"Penguin"
899,"ReganBooks"
900,"Ace Books"
901,"Knopf Books for Young Readers"
902,"Dell Publishing Company"
903,"Orion"
904,"Alfred A. Knopf"
905,"Jonathan Cape"
906,"Del Rey Books"
907,"Sterling"
908,"Red Fox"
909,"Penguin Books"
910,"Grand Central Publishing"
911,"Penguin Classics"
912,"Vintage"
913,"Vintage International"
914,"HarperTrophy"
915,"Puffin Books"
916,"Delta"
917,"Atlantic Books"
918,"Hyperion Book CH"
919,"HarperTeen"
920,"Tor Books"
921,"Vintage"
922,"Grand Central Publishing"
923,"Penguin Classics"
924,"Viking Books for Young Readers"
925,"Viking"
926,"Penguin Books"
927,"HarperTorch"
928,"HarperTeen"
929,"St. Martin's Griffin"
930,"Avon"
931,"Vintage"
932,"Grand Central Publishing"
933,"Inspirational Books Publishing"
934,"Razorbill"
935,"Eio Books"
936,"Hyperion"
937,"Bloomsbury Childrens"
938,"Vision"
939,"Hard Press"
940,"Simon Schuster"
941,"HarperOne"
942,"Delta"
943,"Anchor Books"
944,"Digireads.com"
945,"Razorbill"
946,"HarperCollins HarperTorch"
947,"Doubleday"
948,"Digireads.com"
949,"Washington Square Press"
950,"Harper Voyager"
951,"Signet"
952,"Dover Publications"
953,"Picador USA"
954,"Definitions"
955,"Balboa Press"
956,"HarperCollins"
957,"Delta"
958,"Harlequin Teen"
959,"Bantam Classics"
960,"Razorbill"
961,"Atheneum Books for Young Readers: Richard Jackson Books"
962,""
963,"Vintage International"
964,"Corgi"
965,"Morgan James Publishing"
966,"Basic Books"
967,"Quercus Publishing"
968,"Philomel"
969,"Penguin ROC"
970,"Viking's Children's Books"
971,"Grove Press"
972,"Little, Brown and Company"
973,"Penguin Group"
974,"Algonquin Round Table Publishing"
975,"Oxford University Press"
976,"HarperTeen"
977,"Philomel Books"
978,"Penguin Books"
979,"HarperCollins"
980,"Pocket Books"
981,"Houghton Mifflin Harcourt"
982,"Riverhead Books"
983,""
984,""
985,"Vintage"
986,"Ace"
987,"Pocket Books"
988,"B E Trice Pub"
989,"W. W. Norton Company"
990,"Back Bay Books"
991,"Harlequin Teen"
992,"University of Chicago Press"
993,"Viking Books for Young Readers"
994,"Little, Brown Books for Young Readers"
995,"Bantam"
996,"Penguin Classics"
997,"Little, Brown and Company"
998,"Little, Brown and Company"
999,"Walker Books"
1000,"Hyperion Books for Children"
1001,"Ecco"
1002,"Harcourt"
1003,"Tor Books"
1004,"Delacorte Books for Young Readers"
1005,"Arrow Books"
1006,"Crossway Books"
1007,"Random House"
1008,"Penguin"
1009,"St. Martin's Griffin"
1010,"Del Rey"
1011,"Hachette Books"
1012,"Grove Press"
1013,"Harcourt Paperbacks"
1014,"Little, Brown Books for Young Readers"
1015,"Delacorte Press"
1016,"Flammarion"
1017,"St. Martin's Griffin"
1018,"Gollancz"
1019,"Orbit"
1020,"Vintage"
1021,"Spencer Hill Press"
1022,"Pocket Books"
1023,"Feiwel & Friends"
1024,"Crown Publishing Group"
1025,"Forever"
1026,"Thienemann"
1027,"William Morrow"
1028,"Entangled Publishing"
1029,"Viking"
1030,"St. Martin's Griffin"
1031,"House of Stratus"
1032,"Tor Fantasy"
1033,"Scribner Paperback Fiction"
1034,""
1035,""
1036,"Bantam"
1037,"The Chicken House"
1038,"Pantheon Books"
1039,"Faber and Faber"
1040,"Penguin"
1041,"Margaret K. McElderry Books"
1042,"Harper Perennial"
1043,"Scholastic Press"
1044,"Random House"
1045,"Sand Hill Review Press"
1046,"HarperTeen"
1047,"Little, Brown and Company"
1048,"Harvest Books"
1049,"Riverhead Books"
1050,"La factoría de ideas"
1051,"Penguin Books"
1052,"Riverhead Books"
1053,"Harper Perennial Modern Classics"
1054,"Harper"
1055,"Penguin Classics"
1056,"Dial Press"
1057,"Avon"
1058,"Penguin Books"
1059,"Candlewick Press"
1060,"Grand Central Publishing"
1061,"Penguin"
1062,"Vintage"
1063,"Chattercreek"
1064,"Vintage Books"
1065,"Warner Books"
1066,"New English Library"
1067,"Abbi Glines"
1068,"Bantam"
1069,"Penguin Classics Deluxe Editions"
1070,"Dutton"
1071,"Penguin Books"
1072,"Yearling"
1073,"Ballantine Books"
1074,"Yearling"
1075,"Clayton, Del. : Prestwick House Literary Touchstone Classics,"
1076,"Createspace Independent Publishing Platform"
1077,"Modern Library"
1078,"Tor Books"
1079,"Scholastic Paperbacks"
1080,"Simon & Schuster Books for Young Readers"
1081,"Gollancz"
1082,"Hodder & Stoughton Ltd"
1083,"Hyperion Books for Children"
1084,"DC Comics"
1085,"Doubleday Nan A. Talese"
1086,"Penguin Australia"
1087,"HarperTorch"
1088,"Pantheon"
1089,"Grand Central Publishing"
1090,"Penguin Classics"
1091,"HarperCollins Publishers"
1092,"Atom"
1093,"New Directions"
1094,"Signet/New American Library"
1095,"New York Review Books"
1096,"Starfire"
1097,"Hachette Books"
1098,"Picador"
1099,"Simon Pulse"
1100,"Warner Books"
1101,"Dial Press Trade Paperback"
1102,"Overlook Press"
1103,"Chicken House"
1104,"Delta"
1105,"Dell"
1106,"Plume"
1107,"Corgi Childrens"
1108,"Feiwel & Friends"
1109,"Sarah Crichton Books / Farrar, Straus and Giroux"
1110,"HarperTeen"
1111,"Vintage"
1112,"Scribner"
1113,"Little, Brown and Company"
1114,"David R. Godine Publisher"
1115,"Farrar, Straus and Giroux"
1116,"Vintage"
1117,"Little, Brown and Company"
1118,"Plaza y Janés"
1119,"Doubleday"
1120,"Gallery Books"
1121,"Bantam"
1122,"Harlequin Teen"
1123,""
1124,""
1125,"Bantam Books"
1126,"Atria Books"
1127,"Modern Library"
1128,"Ace"
1129,"Oxford University Press, USA"
1130,""
1131,"J. Lynn"
1132,"Doubleday Books"
1133,"Turtleback"
1134,"دار الشروق"
1135,"Scariodintt Publisharys"
1136,"Bantam Books"
1137,"Vintage"
1138,""
1139,"Dancing Twiga Press"
1140,"Createspace Independent Publishing Platform"
1141,"Little, Brown Books for Young Readers"
1142,"Penguin Books"
1143,"Berkley Publishing Group"
1144,"jimmy patterson"
1145,"Little, Brown and Company"
1146,"Picador USA"
1147,"Penguin"
1148,"Atheneum Books for Young Readers"
1149,"Plume"
1150,"Viking Books"
